"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","13-Dec-2018","        520.25","        528.05","        528.05","        508.00","        511.15","        512.25","        517.67","    6810095","          3525403821.60","      92231","    1175771","         17.27"
"TATASTEEL","E1","14-Dec-2018","         92.40","         94.40","         94.40","         90.10","         92.00","         92.20","         92.89","     115941","            10769503.90","       1104","      38859","         33.52"
"TATASTEEL","EQ","14-Dec-2018","        512.25","        511.00","        517.80","        506.50","        513.50","        513.55","        513.17","    5155980","          2645889314.20","      70055","     577069","         11.19"
"TATASTEEL","E1","17-Dec-2018","         92.20","         94.00","         95.00","         93.10","         94.85","         94.35","         94.20","     115534","            10883679.50","       1181","      39311","         34.03"
"TATASTEEL","EQ","17-Dec-2018","        513.55","        518.00","        525.25","        516.40","        524.00","        524.00","        521.29","    4804854","          2504702284.55","      64696","     913681","         19.02"
"TATASTEEL","E1","18-Dec-2018","         94.35","         93.60","         94.95","         93.00","         94.55","         94.45","         94.33","     144411","            13621780.20","       1187","      53314","         36.92"
"TATASTEEL","EQ","18-Dec-2018","        524.00","        523.00","        528.40","        519.60","        527.00","        527.00","        525.37","    5673527","          2980727010.00","      80553","     697939","         12.30"
"TATASTEEL","E1","19-Dec-2018","         94.45","         94.80","         96.35","         94.00","         94.95","         94.60","         95.22","     170366","            16222236.20","       1241","      50621","         29.71"
"TATASTEEL","EQ","19-Dec-2018","        527.00","        527.90","        532.45","        524.60","        527.00","        527.40","        528.51","    4928043","          2604508634.25","      83332","     874345","         17.74"
"TATASTEEL","E1","20-Dec-2018","         94.60","         94.10","         94.40","         91.80","         92.00","         92.00","         92.99","     136835","            12724778.30","       3632","      82815","         60.52"
"TATASTEEL","EQ","20-Dec-2018","        527.40","        520.00","        527.00","        520.00","        523.15","        523.35","        523.70","    3517335","          1842044891.70","      55311","     597863","         17.00"
"TATASTEEL","E1","21-Dec-2018","         92.00","         92.50","         94.60","         91.10","         91.45","         91.50","         92.64","     163482","            15145103.10","       3992","      65575","         40.11"
"TATASTEEL","EQ","21-Dec-2018","        523.35","        524.15","        532.00","        518.30","        520.20","        520.20","        524.35","    5969670","          3130190247.50","      77299","    1008885","         16.90"
"TATASTEEL","E1","24-Dec-2018","         91.50","         92.90","         95.00","         89.25","         89.50","         89.65","         90.92","      74320","             6757320.55","       1014","      33256","         44.75"
"TATASTEEL","EQ","24-Dec-2018","        520.20","        518.00","        520.70","        512.00","        514.00","        513.70","        515.55","    4329440","          2232059147.80","      56693","     504200","         11.65"
"TATASTEEL","E1","26-Dec-2018","         89.65","         86.55","         90.20","         86.55","         89.45","         89.40","         88.62","     101631","             9006599.70","       1631","      40004","         39.36"
"TATASTEEL","EQ","26-Dec-2018","        513.70","        509.00","        517.30","        504.40","        513.45","        513.45","        509.97","    4953741","          2526260383.70","      68440","     552265","         11.15"
"TATASTEEL","E1","27-Dec-2018","         89.40","         92.45","         92.45","         88.25","         88.70","         88.60","         89.86","      57577","             5173965.65","        574","      31324","         54.40"
"TATASTEEL","EQ","27-Dec-2018","        513.45","        518.00","        519.80","        504.95","        506.50","        506.50","        511.68","    5016931","          2567051750.90","      62558","    1752813","         34.94"
"TATASTEEL","E1","28-Dec-2018","         88.60","         89.00","         90.60","         89.00","         89.25","         89.75","         90.04","      63913","             5754775.70","        709","      33761","         52.82"
"TATASTEEL","EQ","28-Dec-2018","        506.50","        508.20","        516.45","        508.05","        512.35","        512.85","        513.50","    6307408","          3238832364.25","      64362","    1867311","         29.61"
"TATASTEEL","E1","31-Dec-2018","         89.75","         91.40","         92.00","         89.10","         89.45","         89.55","         90.37","     172024","            15545694.00","       1069","      93085","         54.11"
"TATASTEEL","EQ","31-Dec-2018","        512.85","        520.00","        525.00","        516.20","        521.00","        521.05","        522.48","    7965812","          4161995840.75","      83861","    1587779","         19.93"
"TATASTEEL","E1","01-Jan-2019","         89.55","         90.30","         90.30","         88.10","         88.30","         88.45","         88.70","      67945","             6026847.55","       1176","      49409","         72.72"
"TATASTEEL","EQ","01-Jan-2019","        521.05","        524.00","        524.50","        513.55","        515.60","        515.75","        516.59","    4128173","          2132591489.60","      41467","     718976","         17.42"
"TATASTEEL","E1","02-Jan-2019","         88.45","         88.45","         88.45","         84.50","         85.45","         86.00","         85.86","     235864","            20250826.50","       2727","     140217","         59.45"
"TATASTEEL","EQ","02-Jan-2019","        515.75","        506.00","        506.80","        492.00","        492.50","        493.65","        499.63","   11747350","          5869348356.35","     148301","    3527471","         30.03"
"TATASTEEL","E1","03-Jan-2019","         86.00","         84.00","         86.00","         80.50","         80.50","         81.70","         83.39","     197060","            16431908.30","       1907","     114399","         58.05"
"TATASTEEL","EQ","03-Jan-2019","        493.65","        493.00","        493.15","        480.25","        480.90","        481.25","        485.96","   13532944","          6576516802.65","     165809","    3565334","         26.35"
"TATASTEEL","E1","04-Jan-2019","         81.70","         82.00","         82.00","         77.00","         81.05","         81.25","         80.83","     296258","            23946035.05","       2568","     139986","         47.25"
"TATASTEEL","EQ","04-Jan-2019","        481.25","        481.00","        492.85","        479.55","        492.70","        487.65","        484.60","   10480072","          5078693051.95","     128696","    3118466","         29.76"
"TATASTEEL","E1","07-Jan-2019","         81.25","         83.20","         86.70","         73.15","         73.15","         73.15","         77.27","     489047","            37789728.10","       3292","     344221","         70.39"
"TATASTEEL","EQ","07-Jan-2019","        487.65","        495.40","        501.00","        483.90","        485.65","        485.50","        492.72","    8406787","          4142180744.25","      90648","    2161511","         25.71"
"TATASTEEL","E1","08-Jan-2019","         73.15","         66.05","         69.00","         65.85","         65.85","         65.85","         66.07","     257715","            17026144.40","        862","     211349","         82.01"
